,Random Forest,XGBoost,LightGBM,Decision Tree
month_mode_1,0.0025078232567322463,0.008423135,913.811067386762,4.546344608451197e-05
month_mode_2,0.002354385836596625,0.008340307,675.2995511701563,0.0
month_mode_3,0.002943913514450437,0.007443446,641.0029723696907,0.0
month_mode_4,0.00185902507247887,0.0074139894,404.1633626902985,0.0
month_mode_5,0.0017312088685846126,0.0077595236,449.38229110149405,0.0003076930936281628
month_mode_6,0.0021749284140314094,0.007874204,607.9549800204146,0.0
month_mode_7,0.0015845323289535047,0.008894084,393.6433751506795,0.0
month_mode_8,0.0010419959205041302,0.008605612,283.8654280746987,0.0
month_mode_9,0.0017549828472660557,0.008954842,463.3601300029841,0.0
month_mode_10,0.0014170404913732481,0.008332032,495.16405424762434,0.0004667309038831809
month_mode_11,0.0016418652052615052,0.008471218,473.71830133479386,0.0
month_mode_12,0.0014072061908386954,0.008275524,277.63978574607086,0.0
quarter_mode_1,0.00590182083951935,0.0068947175,1230.7983073235453,0.0011561435161749596
quarter_mode_2,0.004231508122708868,0.006589473,1092.624726491259,0.00039194284260560876
quarter_mode_3,0.0034254019129080263,0.0070228274,758.4979291287528,0.0
quarter_mode_4,0.0036011474672727802,0.0076456163,797.1530505008725,0.0
year_mode_2014,0.009445186662626207,0.0131073585,2050.492324374948,0.014961561719301722
year_mode_2015,0.0038224821369979385,0.010661043,939.7918557278808,0.005011116809803306
year_mode_2016,0.0032026683392998687,0.010293068,853.6355965832433,0.006614031690634757
year_mode_2017,0.0025530150259077625,0.008347532,587.0709541894898,0.0027313121142853634
year_mode_2018,0.0035929108520667205,0.00872656,570.6313329100524,0.0
year_mode_2019,0.0026124133021604816,0.008198345,562.3989992168135,0.0
year_mode_2020,0.003843271151359052,0.010161424,648.7338337393667,0.0
year_mode_2021,0.005733090605841068,0.010297695,1084.923128628625,0.0009403710250345048
year_mode_2022,0.012836649753740065,0.017884528,2598.7894647204334,0.011526178338930377
year_mode_2023,0.0018077509969523361,0.014061095,786.6378047148464,0.0004908758105030675
day_week_mode_0,0.003919357113385822,0.00732634,903.560317243631,0.0
day_week_mode_1,0.00448191402239324,0.006979507,1174.2610462587966,0.0
day_week_mode_2,0.0035892989891883856,0.007058654,1080.022209793354,0.0
day_week_mode_3,0.0041366754359838985,0.007557424,939.9685130554717,0.0
day_week_mode_4,0.003028849946777195,0.0078625195,825.2513064973414,4.466925899400122e-05
day_week_mode_5,0.0,0.005619194,0.0,0.0
day_week_mode_6,0.0,0.0,0.0,0.0
customer_country_mode_14,0.0,0.011877088,0.0,0.0
customer_country_mode_AE,0.0001489053422789016,0.0076350765,51.46422989125131,0.0
customer_country_mode_AR,1.840399115774863e-05,0.013452839,53.12093732506037,0.0
customer_country_mode_AT,0.0002577909026760088,0.015850281,167.9686291962862,0.0
customer_country_mode_AU,0.0008647378397900152,0.016777927,412.1425362676382,3.7517502574490684e-05
customer_country_mode_BA,0.0,0.0,0.0,0.0
customer_country_mode_BE,0.0,0.0074014277,0.0,0.0
customer_country_mode_BG,0.0,0.0,0.0,0.0
customer_country_mode_BO,0.0,0.0,0.0,0.0
customer_country_mode_BR,0.00039459047041035303,0.013855439,279.2886251981836,0.0
customer_country_mode_BY,0.0001270848242268743,0.012919446,29.233983954880387,0.0
customer_country_mode_CA,0.0017449620213116368,0.014056218,168.47682540118694,0.0
customer_country_mode_CH,0.000535970343182359,0.010469391,138.4242787428666,0.0
customer_country_mode_CL,0.0,0.012021726,0.0,0.0
customer_country_mode_CN,0.007266437890671698,0.017266689,1097.408288090166,0.0
customer_country_mode_CO,3.608065374480965e-05,0.0060111,5.666163966059685,0.0
customer_country_mode_CR,0.0,0.0,0.0,0.0
customer_country_mode_CZ,2.454857083947296e-05,0.010709907,53.12833309173584,0.0
customer_country_mode_DE,0.0012619148321088344,0.009425423,286.5235345086179,0.0
customer_country_mode_DK,0.01209948061207717,0.015308737,2120.7263717933533,0.01982892829309523
customer_country_mode_EC,0.0,0.010153506,0.0,0.0
customer_country_mode_EE,0.0,0.0,0.0,0.0
customer_country_mode_EG,0.0,0.0,0.0,0.0
customer_country_mode_ES,0.0002841613323542916,0.011188116,61.31175081043716,0.0
customer_country_mode_FI,0.0007379418241820766,0.0121803265,227.7792674790835,0.0
customer_country_mode_FR,0.002260328581247213,0.01124966,450.35457957105245,0.0
customer_country_mode_GB,0.0010141954897611237,0.011073505,479.80484930286184,4.393498405663059e-05
customer_country_mode_GR,0.0,0.011290013,28.28943705558777,0.0
customer_country_mode_HK,0.00013286804999550263,0.013895055,259.20863800598454,0.0
customer_country_mode_HR,0.0,0.0,0.0,0.0
customer_country_mode_HU,0.0,0.01245487,0.0,0.0
customer_country_mode_ID,0.00033940614515898737,0.011188185,146.20372275760747,0.0
customer_country_mode_IE,5.401940647347032e-05,0.01553767,33.60654044151306,0.0
customer_country_mode_IL,0.0,0.007599462,0.0,0.0
customer_country_mode_IN,0.0012419581691192154,0.011754851,266.70775215495087,0.0
customer_country_mode_IT,0.002076492543184288,0.010502825,381.7216660527956,0.0
customer_country_mode_JO,0.0,0.0,0.0,0.0
customer_country_mode_JP,0.0007483539659213225,0.013222315,160.02756190439686,0.0
customer_country_mode_KE,0.0,0.0,0.0,0.0
customer_country_mode_KR,4.123000198792061e-05,0.014910318,35.82317563146353,0.0
customer_country_mode_KZ,0.0,0.0,0.0,0.0
customer_country_mode_LV,5.827463807621104e-06,0.012781774,26.04132466763258,0.0
customer_country_mode_MA,0.0,0.0,0.0,0.0
customer_country_mode_MX,0.00017150036874651723,0.013865309,56.865077160298824,0.0
customer_country_mode_MY,0.0,0.012617303,28.695791770878714,0.0
customer_country_mode_NG,0.0,0.0,0.0,0.0
customer_country_mode_NL,0.0012939184180980037,0.011906543,428.10863183830224,0.0013623488910409487
customer_country_mode_NO,0.00011320056453920535,0.012430775,170.6415824451833,0.0
customer_country_mode_NP,0.0,0.0,0.0,0.0
customer_country_mode_NZ,0.00033535295644478364,0.009696477,111.15709587233141,0.0
customer_country_mode_PA,5.122932326633932e-06,0.0038974849,0.0,0.0
customer_country_mode_PE,0.0,0.008169282,0.0,0.0
customer_country_mode_PH,0.0,0.0,0.0,0.0
customer_country_mode_PL,0.00015432998564073345,0.011736769,113.06722060405446,0.0
customer_country_mode_PT,1.7248432595557134e-06,0.007800802,17.788286685943604,0.0
customer_country_mode_PY,4.0940989141414126e-06,0.0070370585,0.0,0.0
customer_country_mode_RO,0.0,0.011904316,0.0,0.0
customer_country_mode_RS,0.0,0.015732907,0.0,0.0
customer_country_mode_RU,0.0008601865809032461,0.011733057,151.39037408610653,0.0
customer_country_mode_SA,0.0,0.0,0.0,0.0
customer_country_mode_SE,0.04327399071646714,0.015547135,3344.0901772729303,0.01706478333222158
customer_country_mode_SG,0.0004096536689365443,0.011436716,171.0416382276453,0.0
customer_country_mode_SI,2.5549863167689683e-06,0.013078539,0.5910380035638809,0.0
customer_country_mode_SK,0.0,0.008700582,0.0,0.0
customer_country_mode_TH,8.106722295280199e-05,0.009190463,51.451146876614075,0.0
customer_country_mode_TN,0.0,0.0,0.0,0.0
customer_country_mode_TR,0.0003041887242215767,0.007910771,50.095664739608765,0.0
customer_country_mode_TW,6.001072903258101e-05,0.011792584,15.719313137233257,0.0
customer_country_mode_UA,1.320323159352996e-06,0.0085213175,7.155898965895176,0.0
customer_country_mode_US,0.0063412916403219645,0.010887634,1344.8108884327648,0.002106911708318828
customer_country_mode_UY,0.0,0.0,0.0,0.0
customer_country_mode_VE,0.0,0.0,0.0,0.0
customer_country_mode_VN,0.0,0.009369026,0.0,0.0
customer_country_mode_ZA,1.5379507394061455e-05,0.011212403,19.001223176717758,0.0
quantity_sum,0.07439579737394822,0.009387824,14033.568574906109,0.015990646797547334
price_sum,0.06702268025047298,0.00880049,16054.392205493223,0.03331223571225819
unit_weight,0.3919884796263782,0.027221758,64708.732201095714,0.6509264654725073
unit_price_mean,0.17257624645390732,0.012804157,30352.381699689588,0.15412532760200448
customer_country_count,0.044800558367360466,0.00869967,8422.222529855777,0.015478420253158145
customer_id_count,0.0538853377684279,0.00980687,10770.823506891069,0.04503438888135331
